"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-01-01","income","Sales","815.86","Food Panda daily settlement payout","Food Panda platform","Lim",""
"2026-01-02","income","Sales","846.84","Food Panda daily settlement payout","Food Panda platform","Ahmad",""
"2026-01-03","income","Sales","686.56","Food Panda daily settlement payout","Food Panda platform","Jack",""
"2026-01-04","income","Sales","538.26","Food Panda daily settlement payout","Food Panda platform","Sarah",""
"2026-01-05","income","Sales","627.98","Food Panda daily settlement payout","Food Panda platform","Ali",""
"2026-01-06","income","Sales","583.87","Food Panda daily settlement payout","Food Panda platform","Tan",""
"2026-01-07","income","Sales","758.29","Food Panda daily settlement payout","Food Panda platform","Lim",""
"2026-01-08","income","Sales","708.94","Food Panda daily settlement payout","Food Panda platform","Ahmad",""
"2026-01-09","income","Sales","888.26","Food Panda daily settlement payout","Food Panda platform","Jack",""
"2026-01-10","income","Sales","566.15","Food Panda daily settlement payout","Food Panda platform","Sarah",""
"2026-01-11","income","Sales","820.22","Food Panda daily settlement payout","Food Panda platform","Ali",""
"2026-01-12","income","Sales","759.59","Food Panda daily settlement payout","Food Panda platform","Tan",""
"2026-01-13","income","Sales","874.44","Food Panda daily settlement payout","Food Panda platform","Lim",""
"2026-01-14","income","Sales","761.38","Food Panda daily settlement payout","Food Panda platform","Ahmad",""
"2026-01-15","income","Sales","861.54","Food Panda daily settlement payout","Food Panda platform","Jack",""
"2026-01-16","income","Sales","894.08","Food Panda daily settlement payout","Food Panda platform","Sarah",""
"2026-01-17","income","Sales","801.93","Food Panda daily settlement payout","Food Panda platform","Ali",""
"2026-01-18","income","Sales","816.83","Food Panda daily settlement payout","Food Panda platform","Tan",""
"2026-01-19","income","Sales","682.04","Food Panda daily settlement payout","Food Panda platform","Lim",""
"2026-01-20","income","Sales","781.84","Food Panda daily settlement payout","Food Panda platform","Ahmad",""
"2026-01-21","income","Sales","797.14","Food Panda daily settlement payout","Food Panda platform","Jack",""
"2026-01-22","income","Sales","771.52","Food Panda daily settlement payout","Food Panda platform","Sarah",""
"2026-01-23","income","Sales","729.64","Food Panda daily settlement payout","Food Panda platform","Ali",""
"2026-01-24","income","Sales","814.45","Food Panda daily settlement payout","Food Panda platform","Tan",""
"2026-01-25","income","Sales","623.83","Food Panda daily settlement payout","Food Panda platform","Lim",""
"2026-01-26","income","Sales","628.97","Food Panda daily settlement payout","Food Panda platform","Ahmad",""
"2026-01-27","income","Sales","538.59","Food Panda daily settlement payout","Food Panda platform","Jack",""
