"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-01-01","expense","Rent","4500.00","Monthly rental for outlet Taman A","Manual","Jack",""
"2026-01-01","expense","Rent","4500.00","Monthly rental for outlet Taman B","Manual","Sarah",""
"2026-01-01","expense","Rent","4500.00","Monthly rental for outlet Taman C","Manual","Ali",""
"2026-01-01","expense","Rent","4500.00","Monthly rental for outlet Taman D","Manual","Tan",""
"2026-01-01","expense","Rent","4500.00","Monthly rental for outlet Taman E","Manual","Lim",""
"2026-01-10","expense","Utilities","312.42","Electricity bill for Taman A","Manual","Sarah",""
"2026-01-10","expense","Utilities","82.52","Water bill for Taman A","Manual","Sarah",""
"2026-01-12","expense","Utilities","423.87","Electricity bill for Taman B","Manual","Ali",""
"2026-01-12","expense","Utilities","50.57","Water bill for Taman B","Manual","Ali",""
"2026-01-15","expense","Utilities","437.23","Electricity bill for Taman C","Manual","Tan",""
"2026-01-15","expense","Utilities","95.41","Water bill for Taman C","Manual","Tan",""
"2026-01-18","expense","Utilities","498.03","Electricity bill for Taman D","Manual","Lim",""
"2026-01-18","expense","Utilities","94.53","Water bill for Taman D","Manual","Lim",""
"2026-01-21","expense","Utilities","390.73","Electricity bill for Taman E","Manual","Ahmad",""
"2026-01-21","expense","Utilities","81.44","Water bill for Taman E","Manual","Ahmad",""
"2026-01-05","expense","Inventory","22194.62","Bulk tea leaves, cups and packaging materials from supplier","Manual","Sarah",""
"2026-01-20","expense","Inventory","19634.68","Milk, syrup and fresh pastry supplies from vendor","Manual","Ahmad",""
"2026-01-10","expense","Marketing","5021.43","Social media ads and local influencer campaigns payout","Manual","Tan",""
"2026-01-28","expense","Salaries","70593.78","Monthly staff salaries and EPF contributions compiled","Manual","Lim",""
"2026-01-28","expense","Claims","152.93","Petrol and travel claim [PIC: Ali]","Manual","Ali",""
"2026-01-01","income","Sales","1089.67","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-01","income","Sales","1371.10","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-01","income","Sales","1811.09","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-01-02","income","Sales","1128.69","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-01-02","income","Sales","1689.71","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-01-02","income","Sales","2075.38","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-01-03","income","Sales","1053.22","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-01-03","income","Sales","1747.19","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-01-03","income","Sales","2020.17","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-01-04","income","Sales","912.14","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-01-04","income","Sales","1597.26","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-01-04","income","Sales","1973.84","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-01-05","income","Sales","1090.52","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-01-05","income","Sales","1706.93","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-01-05","income","Sales","2022.28","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-01-06","income","Sales","1087.19","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-01-06","income","Sales","1537.12","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-01-06","income","Sales","2207.07","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-01-07","income","Sales","1099.57","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-07","income","Sales","1309.62","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-07","income","Sales","1959.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-01-08","income","Sales","1035.05","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-01-08","income","Sales","1676.69","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-01-08","income","Sales","1853.88","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-01-09","income","Sales","824.97","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
