"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-01-01","income","Sales","117.65","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-01-02","income","Sales","117.57","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-01-03","income","Sales","88.77","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-01-04","income","Sales","93.84","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-01-05","income","Sales","86.66","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-01-06","income","Sales","85.53","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-01-07","income","Sales","96.18","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-01-08","income","Sales","80.16","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-01-09","income","Sales","83.61","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-01-10","income","Sales","99.12","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-01-11","income","Sales","104.26","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-01-12","income","Sales","81.65","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-01-13","income","Sales","104.89","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-01-14","income","Sales","102.07","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-01-15","income","Sales","103.48","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-01-16","income","Sales","109.63","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-01-17","income","Sales","108.59","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-01-18","income","Sales","99.09","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-01-19","income","Sales","106.77","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-01-20","income","Sales","94.34","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-01-21","income","Sales","104.97","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-01-22","income","Sales","90.01","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-01-23","income","Sales","105.17","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-01-24","income","Sales","118.03","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-01-25","income","Sales","104.03","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-01-26","income","Sales","119.89","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-01-27","income","Sales","100.28","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-01-28","income","Sales","106.28","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-01-29","income","Sales","101.00","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-01-30","income","Sales","97.48","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-01-31","income","Sales","98.78","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-02-01","income","Sales","83.47","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-02-02","income","Sales","82.30","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-02-03","income","Sales","84.39","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-02-04","income","Sales","99.67","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-02-05","income","Sales","103.14","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-02-06","income","Sales","91.02","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-02-07","income","Sales","110.89","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-02-08","income","Sales","108.01","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-02-09","income","Sales","110.77","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-02-10","income","Sales","83.20","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-02-11","income","Sales","119.93","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-02-12","income","Sales","96.41","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-02-13","income","Sales","98.96","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-02-14","income","Sales","111.09","Grab Food daily settlement payout","Grab Food platform","Sarah",""
"2026-02-15","income","Sales","80.16","Grab Food daily settlement payout","Grab Food platform","Ali",""
"2026-02-16","income","Sales","108.04","Grab Food daily settlement payout","Grab Food platform","Tan",""
"2026-02-17","income","Sales","87.30","Grab Food daily settlement payout","Grab Food platform","Lim",""
"2026-02-18","income","Sales","97.23","Grab Food daily settlement payout","Grab Food platform","Ahmad",""
"2026-02-19","income","Sales","104.95","Grab Food daily settlement payout","Grab Food platform","Jack",""
"2026-02-20","income","Sales","102.31","Grab Food daily settlement payout","Grab Food platform","Sarah",""
