"Item_Name","Price"
"Caffè Americano","3.45"
"Caffè Latte","4.65"
"Cappuccino","4.65"
"Caramel Macchiato","5.25"
"White Chocolate Mocha","5.45"
"Iced Brown Sugar Oatmilk Shaken Espresso","5.95"
"Cold Brew Coffee","4.45"
"Pink Drink","5.45"
"Strawberry Acai­ Lemonade Refresher","5.25"
"Matcha Tea Latte","4.95"
"Chai Tea Latte","4.95"
"Hot Chocolate","3.95"
"New York Cheesecake","5.25"
"Red Velvet Loaf","3.95"
"Coffee Cake","3.75"
"Lemon Loaf","3.95"
"Marble Pound Cake","3.95"
"Birthday Cake Pop","2.95"
