"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-01-01","income","Sales","576.84","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-01-02","income","Sales","531.41","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-01-03","income","Sales","461.97","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-01-04","income","Sales","505.70","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-01-05","income","Sales","483.62","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-01-06","income","Sales","488.60","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-01-07","income","Sales","402.73","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-01-08","income","Sales","428.62","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-01-09","income","Sales","504.47","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-01-10","income","Sales","613.73","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-01-11","income","Sales","646.48","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-01-12","income","Sales","641.35","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-01-13","income","Sales","407.46","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-01-14","income","Sales","462.87","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-01-15","income","Sales","640.51","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-01-16","income","Sales","547.13","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-01-17","income","Sales","439.68","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-01-18","income","Sales","419.79","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-01-19","income","Sales","657.62","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-01-20","income","Sales","568.35","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-01-21","income","Sales","599.25","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-01-22","income","Sales","493.04","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-01-23","income","Sales","505.28","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-01-24","income","Sales","666.24","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-01-25","income","Sales","577.25","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-01-26","income","Sales","407.93","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-01-27","income","Sales","684.67","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-01-28","income","Sales","527.85","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-01-29","income","Sales","527.22","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-01-30","income","Sales","622.42","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-01-31","income","Sales","477.89","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-01","income","Sales","676.31","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-02","income","Sales","504.55","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-02-03","income","Sales","444.38","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-02-04","income","Sales","632.22","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-02-05","income","Sales","698.01","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-02-06","income","Sales","524.15","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-02-07","income","Sales","591.62","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-08","income","Sales","647.00","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-02-09","income","Sales","468.17","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-02-10","income","Sales","539.17","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-02-11","income","Sales","557.65","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-02-12","income","Sales","537.84","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-02-13","income","Sales","588.45","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-14","income","Sales","595.65","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-02-15","income","Sales","641.11","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-02-16","income","Sales","584.62","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-02-17","income","Sales","678.85","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
